objectid,trail_name,surface_cat,use_cat,segment_length_miles,trail_width
44703,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.00366198808425804,8
44704,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0712533964200057,8
44705,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0404310242564989,8
44706,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0774385923799214,8
44707,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.00258598087406326,8
44708,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0548418253043977,8
44709,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.133581275027541,8
44710,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.10675226306077,8
44711,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0703441678266609,8
44712,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0475995718568405,8
44713,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.107967398144249,8
44714,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0199294791897448,8
44715,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0466549540304348,8
44716,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0678687631344116,8
44717,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0461420693122978,8
44718,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0668705442863569,8
44719,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0291585065272554,8
44720,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0718468430589575,8
44721,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0239834541377658,8
44722,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.220254665610536,8
44723,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0416570743533002,8
44724,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0121153429939554,8
44725,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0820076187727419,8
44726,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.140413644809891,8
44727,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0349953241030289,8
44728,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.13325534193219,8
