objectid,trail_name,county,region,is_motorized,segment_length_miles
34157,NA,Lincoln,Eastern WA,Non-Motorized,0.766009524578315
34158,NA,Lincoln,Eastern WA,Non-Motorized,2.74004386777056
34159,NA,Lincoln,Eastern WA,Non-Motorized,1.25263099444305
34160,NA,Lincoln,Eastern WA,Non-Motorized,0.728427612790646
34161,Loop Trail,Lincoln,Eastern WA,Non-Motorized,2.87848633017222
34162,NA,Lincoln,Eastern WA,Non-Motorized,0.124231561744485
34163,NA,Lincoln,Eastern WA,Non-Motorized,1.21154844534168
34164,Loop Trail,Lincoln,Eastern WA,Non-Motorized,6.83186827631422
34165,NA,Lincoln,Eastern WA,Non-Motorized,0.411352923258399
34166,NA,Lincoln,Eastern WA,Non-Motorized,2.34343660281656
34167,NA,Lincoln,Eastern WA,Non-Motorized,1.55296711434132
34168,NA,Lincoln,Eastern WA,Non-Motorized,0.704419612072289
34169,NA,Lincoln,Eastern WA,Non-Motorized,0.315957026250037
34170,NA,Lincoln,Eastern WA,Non-Motorized,0.666028917946708
34171,NA,Lincoln,Eastern WA,Non-Motorized,1.25087829954122
34172,NA,Lincoln,Eastern WA,Non-Motorized,2.74557641258488
34173,NA,Lincoln,Eastern WA,Non-Motorized,1.10363262714161
34174,NA,Lincoln,Eastern WA,Non-Motorized,0.31872354580447
34175,Loop Trail,Lincoln,Eastern WA,Non-Motorized,4.28976988498044
34176,NA,Lincoln,Eastern WA,Non-Motorized,0.656562881950527
34177,NA,Lincoln,Eastern WA,Non-Motorized,5.58350069555631
34178,NA,Lincoln,Eastern WA,Non-Motorized,3.18145910817647
34179,NA,Lincoln,Eastern WA,Non-Motorized,0.68010632050682
34180,NA,Lincoln,Eastern WA,Non-Motorized,0.37084041163062
34181,NA,Lincoln,Eastern WA,Non-Motorized,1.72445837406774
34182,NA,Lincoln,Eastern WA,Non-Motorized,1.08474558305689
34183,NA,Lincoln,Eastern WA,Non-Motorized,0.535046189446739
34184,NA,Lincoln,Eastern WA,Non-Motorized,0.829850301274884
34185,NA,Lincoln,Eastern WA,Non-Motorized,0.134902194490646
34186,NA,Lincoln,Eastern WA,Non-Motorized,1.05160448252543
34187,NA,Lincoln,Eastern WA,Non-Motorized,1.12383990563237
34188,NA,Lincoln,Eastern WA,Non-Motorized,1.56172312317833
34189,NA,Lincoln,Eastern WA,Non-Motorized,0.205462528599067
34190,NA,Lincoln,Eastern WA,Non-Motorized,1.32123686467059
34191,NA,Lincoln,Eastern WA,Non-Motorized,0.865787041694001
34192,NA,Lincoln,Eastern WA,Non-Motorized,0.92168461128876
34193,NA,Lincoln,Eastern WA,Non-Motorized,0.0112210627762361
34194,NA,Lincoln,Eastern WA,Non-Motorized,1.61714728982914
34195,NA,Lincoln,Eastern WA,Non-Motorized,0.413620889027923
34196,NA,Lincoln,Eastern WA,Non-Motorized,1.14368960114642
34197,NA,Lincoln,Eastern WA,Non-Motorized,1.30228462493496
34198,NA,Lincoln,Eastern WA,Non-Motorized,0.700161223081131
34199,NA,Lincoln,Eastern WA,Non-Motorized,0.0112630085219031
34200,NA,Lincoln,Eastern WA,Non-Motorized,0.617984666908152
34201,NA,Lincoln,Eastern WA,Non-Motorized,0.175200586716764
34202,NA,Lincoln,Eastern WA,Non-Motorized,1.24298198082792
34203,NA,Lincoln,Eastern WA,Non-Motorized,0.773338899697748
34204,NA,Lincoln,Eastern WA,Non-Motorized,0.055223376724379
34205,NA,Lincoln,Eastern WA,Non-Motorized,1.59487681134984
34206,NA,Lincoln,Eastern WA,Non-Motorized,0.109700692868325
34207,NA,Lincoln,Eastern WA,Non-Motorized,0.812614938912843
34208,NA,Lincoln,Eastern WA,Non-Motorized,0.133749897314853
34209,Loop Trail,Lincoln,Eastern WA,Non-Motorized,0.540834211857535
34210,Loop Trail,Lincoln,Eastern WA,Non-Motorized,0.576640969935887
34211,NA,Lincoln,Eastern WA,Non-Motorized,2.47180352149871
34212,NA,Lincoln,Eastern WA,Non-Motorized,1.50677752817326
34213,NA,Lincoln,Eastern WA,Non-Motorized,1.10628881819118
34214,NA,Lincoln,Eastern WA,Non-Motorized,1.15079548738266
34215,NA,Lincoln,Eastern WA,Non-Motorized,0.118952751058341
34216,NA,Lincoln,Eastern WA,Non-Motorized,0.287876424559124
34217,NA,Lincoln,Eastern WA,Non-Motorized,0.0281665543410106
34218,NA,Lincoln,Eastern WA,Non-Motorized,1.7945796586099
34219,NA,Lincoln,Eastern WA,Non-Motorized,1.47997021702182
34220,NA,Lincoln,Eastern WA,Non-Motorized,0.558341679371866
34221,NA,Lincoln,Eastern WA,Non-Motorized,0.100303225111265
34222,NA,Lincoln,Eastern WA,Non-Motorized,1.08583066279463
34223,NA,Lincoln,Eastern WA,Non-Motorized,0.0529385313812486
34224,NA,Lincoln,Eastern WA,Non-Motorized,2.10273818259936
34225,NA,Lincoln,Eastern WA,Non-Motorized,1.88370029202941
34226,Palouse to Cascades State Park Trail,Adams,Eastern WA,Non-Motorized,0.617682414256027
34227,Jeep Trail,Adams,Eastern WA,Motorized,0.15712444212369
34228,NA,Adams,Eastern WA,Non-Motorized,4.1642746238152
34229,NA,Adams,Eastern WA,Non-Motorized,3.94520035017575
34230,Jeep Trail,Adams,Eastern WA,Motorized,0.10709028007474
34231,Jeep Trail,Adams,Eastern WA,Motorized,0.414566212252692
34232,NA,Adams,Eastern WA,Non-Motorized,0.202368995109112
34233,NA,Adams,Eastern WA,Non-Motorized,6.14366846633481
34234,NA,Adams,Eastern WA,Non-Motorized,1.41682186052256
34235,Jeep Trail,Adams,Eastern WA,Motorized,0.857827251501861
34236,Jeep Trail,Adams,Eastern WA,Motorized,1.0918497118463
34237,NA,Adams,Eastern WA,Non-Motorized,0.606328181621576
34238,Jeep Trail,Adams,Eastern WA,Motorized,0.648033428137883
34239,NA,Adams,Eastern WA,Non-Motorized,0.721290060297
34240,Jeep Trail,Adams,Eastern WA,Motorized,1.59165629493141
34241,NA,Adams,Eastern WA,Non-Motorized,3.1860697426734
34242,Jeep Trail,Adams,Eastern WA,Motorized,0.143398087867292
34243,NA,Adams,Eastern WA,Non-Motorized,2.57342265567003
34244,NA,Adams,Eastern WA,Non-Motorized,1.44590991324908
34245,Jeep Trail,Adams,Eastern WA,Motorized,0.659310243093652
34246,Jeep Trail,Adams,Eastern WA,Motorized,0.0993980157862446
34247,Jeep Trail,Adams,Eastern WA,Motorized,0.119559129605368
34248,Jeep Trail,Adams,Eastern WA,Motorized,1.03221945152281
34249,Jeep Trail,Adams,Eastern WA,Motorized,0.401889619874705
34250,Palouse to Cascades State Park Trail,Adams,Eastern WA,Non-Motorized,2.6803759235109
34252,Palouse to Cascades State Park Trail,Adams,Eastern WA,Non-Motorized,2.51088837043033
34253,Sacajawea Heritage Trail,Benton/Franklin,Western WA,Non-Motorized,4.86428875759188
34254,Sacajawea Heritage Trail,Benton/Franklin,Western WA,Non-Motorized,0.991712838777254
34257,Intake/Deadman Peak,Columbia/Walla Walla,Western WA,Non-Motorized,15.942472200583
34259,Mill Creek,Columbia/Walla Walla,Western WA,Non-Motorized,6.26738797495156
34261,Lee-Volpentest Bridge,Benton/Franklin,Western WA,Non-Motorized,0.533825222673308
34262,Lee-Volpentest Bridge,Benton/Franklin,Western WA,Non-Motorized,0.534442163912831
34263,Pioneer Memorial Birdge,Benton/Franklin,Western WA,Non-Motorized,0.683642985486178
34266,Palouse to Cascades State Park Trail,Adams/Grant,Western WA,Non-Motorized,30.873918452503
34269,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.0121977643619534
34270,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.034303200769902
34271,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.0729064399738454
34272,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.115718875991218
34273,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.542175429042953
34274,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.255484531851469
34275,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.735775282480333
34276,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.337980769544103
34277,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.76195103687693
34278,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.548617623085737
34279,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.33084714373835
34280,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.511522060851971
34281,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.230751427176247
34282,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.298205512861853
34283,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.184985204185711
34284,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.98934737675631
34285,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.600056825553042
34286,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.105545692502328
34287,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.0494774687887926
34288,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.503578445618776
34289,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.0817268075473412
34290,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.0241357133135013
34291,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.142927858765992
34292,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.671308379216937
34293,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.741145003344423
34294,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.394962657160997
34295,Sherman Creek Trail,Ferry,Eastern WA,Non-Motorized,0.671678473803196
34296,Golden Tiger Pathway,Ferry,Eastern WA,Non-Motorized,0.500142393420258
34297,Taylor Ridge Trail,Ferry,Eastern WA,Non-Motorized,3.1428495621836
34298,NA,Ferry,Eastern WA,Non-Motorized,0.0193639385847925
34299,NA,Ferry,Eastern WA,Non-Motorized,0.148165073414942
34300,NA,Ferry,Eastern WA,Non-Motorized,0.386014729720297
34301,NA,Ferry,Eastern WA,Non-Motorized,0.0737882686813449
34302,NA,Ferry,Eastern WA,Non-Motorized,0.817799362447771
34303,NA,Ferry,Eastern WA,Non-Motorized,0.206199415043927
34304,NA,Ferry,Eastern WA,Non-Motorized,0.321374633321419
34305,NA,Ferry,Eastern WA,Non-Motorized,0.0402955330493226
34306,NA,Ferry,Eastern WA,Non-Motorized,0.449118473988989
34307,NA,Ferry,Eastern WA,Non-Motorized,0.497802957765208
34308,NA,Ferry,Eastern WA,Non-Motorized,0.178063731343939
34309,Kettle Crest North,Ferry,Eastern WA,Non-Motorized,44.2391682952623
34310,Twin Sisters,Ferry,Eastern WA,Non-Motorized,10.0455989366527
34311,Old Stage,Ferry,Eastern WA,Non-Motorized,2.39209784042125
34312,Marcus,Ferry,Eastern WA,Non-Motorized,5.14340872049229
34313,Lambert,Ferry,Eastern WA,Non-Motorized,2.52166514578738
34314,Old Stage,Ferry,Eastern WA,Non-Motorized,8.4742376603603
34315,U.S. Mountain,Ferry,Eastern WA,Non-Motorized,4.89184889824203
34316,U.S Spur,Ferry,Eastern WA,Non-Motorized,4.00599838853616
34317,Midnight Ridge,Ferry,Eastern WA,Non-Motorized,6.1149860221354
34318,Mac/King,Ferry,Eastern WA,Non-Motorized,12.081548381364
34319,Sherman Tie,Ferry,Eastern WA,Non-Motorized,0.802386139699131
34320,White Mtn Interp,Ferry,Eastern WA,Non-Motorized,0.143392237515095
34321,13 Mile,Ferry,Eastern WA,Non-Motorized,24.5643380944848
34322,Telemark Cutoff-XC,Ferry,Eastern WA,Non-Motorized,0.278081708781122
34323,Columbia Mountain Spur,Ferry,Eastern WA,Non-Motorized,0.375038808279021
34324,Long Alec,Ferry,Eastern WA,Non-Motorized,1.08242568865424
34325,Snow Peak,Ferry,Eastern WA,Non-Motorized,3.90045032188348
34326,Canyon Creek,Ferry,Eastern WA,Non-Motorized,1.48406350863371
34327,Leona,Ferry,Eastern WA,Non-Motorized,2.43384630213965
34328,Columbia Mountain,Ferry,Eastern WA,Non-Motorized,3.0168399226696
34329,Hoodoo Canyon,Ferry,Eastern WA,Non-Motorized,7.19572742354929
34330,Sherman,Ferry,Eastern WA,Non-Motorized,1.9302279412642
34331,Jungle Hill,Ferry,Eastern WA,Non-Motorized,5.26713356197219
34332,Lambert,Ferry,Eastern WA,Non-Motorized,2.52166514578738
34333,Stickpin,Ferry,Eastern WA,Non-Motorized,2.91892149855151
34334,Kettle Crest South,Ferry,Eastern WA,Non-Motorized,20.9970934306339
34335,S.Huck2,Ferry,Eastern WA,Non-Motorized,3.38020160316167
34336,Leona Loop,Ferry,Eastern WA,Non-Motorized,2.24746794908953
34337,Profanity,Ferry,Eastern WA,Non-Motorized,2.30012039230255
34338,Timber Ridge,Ferry,Eastern WA,Non-Motorized,4.64746878657421
34339,Emerald Lake,Ferry,Eastern WA,Non-Motorized,0.904574096696796
34340,Taylor Ridge,Ferry,Eastern WA,Non-Motorized,20.5868630869658
34341,South Huckleberry,Ferry,Eastern WA,Non-Motorized,7.88694299548776
34342,Deet Creek Summit South,Ferry,Eastern WA,Non-Motorized,4.82247823764995
34343,Maple Mountain,Ferry,Eastern WA,Non-Motorized,1.61445701239786
34344,Barnaby Buttes,Ferry,Eastern WA,Non-Motorized,3.72437575089548
34345,Wapaloosie,Ferry,Eastern WA,Non-Motorized,4.35527382870371
34346,U.S. Mountain,Ferry,Eastern WA,Non-Motorized,4.89184889824203
34347,Deer Creek Summit North,Ferry,Eastern WA,Non-Motorized,7.68520700354161
34348,Fish Lake,Ferry,Eastern WA,Non-Motorized,0.778787275787167
34349,Gibralter,Ferry,Eastern WA,Non-Motorized,17.858955344957
34350,Big Lick,Ferry,Eastern WA,Non-Motorized,6.42105674819853
34351,Ryan Cabin,Ferry,Eastern WA,Non-Motorized,2.33778842508716
34352,Bear Pot,Ferry,Eastern WA,Non-Motorized,1.16231860261675
34353,Edds Mountain,Ferry,Eastern WA,Non-Motorized,8.21291189543262
34354,Sherman Pass,Ferry,Eastern WA,Non-Motorized,6.56525565490047
34355,Sherman Peak Loop-XC,Ferry,Eastern WA,Non-Motorized,2.74423290510259
34356,Clackamas Mountain,Ferry,Eastern WA,Non-Motorized,0.421316725782488
34357,Sherman Overlook,Ferry,Eastern WA,Non-Motorized,0.310236529931753
34358,Barnaby Buttes,Ferry,Eastern WA,Non-Motorized,7.50531861613091
34359,Thompson Ridge,Ferry,Eastern WA,Non-Motorized,7.83852720935486
34360,Hunter Creek,Ferry,Eastern WA,Non-Motorized,4.93863866801929
